date,weightclass,fighter,rank
2020-08-03,Middleweight,Israel Adesanya,0
2020-08-03,Middleweight,Robert Whittaker,1
2020-08-03,Middleweight,Paulo Costa,2
2020-08-03,Middleweight,Jared Cannonier,3
2020-08-03,Middleweight,Jack Hermansson,4
2020-08-03,Middleweight,Yoel Romero,5
2020-08-03,Middleweight,Darren Till,6
2020-08-03,Middleweight,Derek Brunson,7
2020-08-03,Middleweight,Kelvin Gastelum,8
2020-08-03,Middleweight,Uriah Hall,9
2020-08-03,Middleweight,Edmen Shahbazyan,10
2020-08-03,Middleweight,Omari Akhmedov,11
2020-08-03,Middleweight,Brad Tavares,12
2020-08-03,Middleweight,Ian Heinisch,13
2020-08-03,Middleweight,Marvin Vettori,14
2020-08-03,Middleweight,Antonio Carlos Junior,15
2020-08-03,Light Heavyweight,Jon Jones,0
2020-08-03,Light Heavyweight,Dominick Reyes,1
2020-08-03,Light Heavyweight,Thiago Santos,2
2020-08-03,Light Heavyweight,Jan Blachowicz,3
2020-08-03,Light Heavyweight,Corey Anderson,4
2020-08-03,Light Heavyweight,Glover Teixeira,5
2020-08-03,Light Heavyweight,Anthony Smith,6
2020-08-03,Light Heavyweight,Alexander Gustafsson,7
2020-08-03,Light Heavyweight,Jiri Prochazka,7
2020-08-03,Light Heavyweight,Volkan Oezdemir,8
2020-08-03,Light Heavyweight,Aleksandar Rakic,9
2020-08-03,Light Heavyweight,Nikita Krylov,10
2020-08-03,Light Heavyweight,Misha Cirkunov,11
2020-08-03,Light Heavyweight,Johnny Walker,12
2020-08-03,Light Heavyweight,Ryan Spann,13
2020-08-03,Light Heavyweight,Magomed Ankalaev,14
2020-08-03,Light Heavyweight,Mauricio Rua,15
2020-08-03,Heavyweight,Stipe Miocic,0
2020-08-03,Heavyweight,Daniel Cormier,1
2020-08-03,Heavyweight,Francis Ngannou,2
2020-08-03,Heavyweight,Curtis Blaydes,3
2020-08-03,Heavyweight,Derrick Lewis,4
2020-08-03,Heavyweight,Junior Dos Santos,5
2020-08-03,Heavyweight,Jairzinho Rozenstruik,6
2020-08-03,Heavyweight,Alistair Overeem,7
2020-08-03,Heavyweight,Alexander Volkov,8
2020-08-03,Heavyweight,Augusto Sakai,9
2020-08-03,Heavyweight,Aleksei Oleinik,10
2020-08-03,Heavyweight,Walt Harris,11
2020-08-03,Heavyweight,Shamil Abdurakhimov,12
2020-08-03,Heavyweight,Fabricio Werdum,13
2020-08-03,Heavyweight,Sergei Pavlovich,14
2020-08-03,Heavyweight,Ciryl Gane,15
2020-08-03,Women's Strawweight,Weili Zhang,0
2020-08-03,Women's Strawweight,Rose Namajunas,1
2020-08-03,Women's Strawweight,Jessica Andrade,2
2020-08-03,Women's Strawweight,Tatiana Suarez,3
2020-08-03,Women's Strawweight,Joanna Jedrzejczyk,4
2020-08-03,Women's Strawweight,Nina Ansaroff,5
2020-08-03,Women's Strawweight,Claudia Gadelha,6
2020-08-03,Women's Strawweight,Carla Esparza,7
2020-08-03,Women's Strawweight,Michelle Waterson,8
2020-08-03,Women's Strawweight,Marina Rodriguez,9
2020-08-03,Women's Strawweight,Yan Xiaonan,10
2020-08-03,Women's Strawweight,Tecia Torres,11
2020-08-03,Women's Strawweight,Amanda Ribas,12
2020-08-03,Women's Strawweight,Angela Hill,13
2020-08-03,Women's Strawweight,Alexa Grasso,14
2020-08-03,Women's Strawweight,Felice Herrig,15
2020-08-03,Women's Flyweight,Valentina Shevchenko,0
2020-08-03,Women's Flyweight,Katlyn Chookagian,1
2020-08-03,Women's Flyweight,Cynthia Calvillo,2
2020-08-03,Women's Flyweight,Jennifer Maia,3
2020-08-03,Women's Flyweight,Lauren Murphy,4
2020-08-03,Women's Flyweight,Joanne Calderwood,5
2020-08-03,Women's Flyweight,Jessica Eye,5
2020-08-03,Women's Flyweight,Roxanne Modafferi,7
2020-08-03,Women's Flyweight,Viviane Araujo,8
2020-08-03,Women's Flyweight,Andrea Lee,9
2020-08-03,Women's Flyweight,Maycee Barber,10
2020-08-03,Women's Flyweight,Alexis Davis,11
2020-08-03,Women's Flyweight,Montana De La Rosa,12
2020-08-03,Women's Flyweight,Antonina Shevchenko,13
2020-08-03,Women's Flyweight,Ji Yeon Kim,14
2020-08-03,Women's Flyweight,Molly McCann,15
2020-08-03,Women's Flyweight,Gillian Robertson,15
2020-08-03,Women's Bantamweight,Amanda Nunes,0
2020-08-03,Women's Bantamweight,Germaine de Randamie,1
2020-08-03,Women's Bantamweight,Holly Holm,2
2020-08-03,Women's Bantamweight,Aspen Ladd,3
2020-08-03,Women's Bantamweight,Julianna Pena,4
2020-08-03,Women's Bantamweight,Raquel Pennington,5
2020-08-03,Women's Bantamweight,Irene Aldana,6
2020-08-03,Women's Bantamweight,Ketlen Vieira,7
2020-08-03,Women's Bantamweight,Yana Kunitskaya,8
2020-08-03,Women's Bantamweight,Sara McMann,9
2020-08-03,Women's Bantamweight,Marion Reneau,10
2020-08-03,Women's Bantamweight,Lina Lansberg,11
2020-08-03,Women's Bantamweight,Macy Chiasson,12
2020-08-03,Women's Bantamweight,Bethe Correia,13
2020-08-03,Women's Bantamweight,Pannie Kianzad,13
2020-08-03,Women's Bantamweight,Julia Avila,14
2020-08-03,Women's Bantamweight,Sijara Eubanks,15
2020-08-03,Women's Featherweight,Amanda Nunes,0
