date,weightclass,fighter,rank
2020-08-03,Pound-for-Pound,Jon Jones,1
2020-08-03,Pound-for-Pound,Amanda Nunes,1
2020-08-03,Pound-for-Pound,Khabib Nurmagomedov,2
2020-08-03,Pound-for-Pound,Weili Zhang,2
2020-08-03,Pound-for-Pound,Stipe Miocic,3
2020-08-03,Pound-for-Pound,Valentina Shevchenko,3
2020-08-03,Pound-for-Pound,Israel Adesanya,4
2020-08-03,Pound-for-Pound,Rose Namajunas,4
2020-08-03,Pound-for-Pound,Kamaru Usman,5
2020-08-03,Pound-for-Pound,Joanna Jedrzejczyk,5
2020-08-03,Pound-for-Pound,Daniel Cormier,6
2020-08-03,Pound-for-Pound,Jessica Andrade,6
2020-08-03,Pound-for-Pound,Alexander Volkanovski,7
2020-08-03,Pound-for-Pound,Tatiana Suarez,7
2020-08-03,Pound-for-Pound,Max Holloway,8
2020-08-03,Pound-for-Pound,Holly Holm,8
2020-08-03,Pound-for-Pound,Dustin Poirier,9
2020-08-03,Pound-for-Pound,Germaine de Randamie,9
2020-08-03,Pound-for-Pound,Justin Gaethje,10
2020-08-03,Pound-for-Pound,Aspen Ladd,10
2020-08-03,Pound-for-Pound,Conor McGregor,11
2020-08-03,Pound-for-Pound,Katlyn Chookagian,11
2020-08-03,Pound-for-Pound,Petr Yan,12
2020-08-03,Pound-for-Pound,Claudia Gadelha,12
2020-08-03,Pound-for-Pound,Deiveson Figueiredo,13
2020-08-03,Pound-for-Pound,Cynthia Calvillo,13
2020-08-03,Pound-for-Pound,Robert Whittaker,14
2020-08-03,Pound-for-Pound,Julianna Pena,14
2020-08-03,Pound-for-Pound,Francis Ngannou,15
2020-08-03,Pound-for-Pound,Tony Ferguson,15
2020-08-03,Pound-for-Pound,Nina Ansaroff,15
2020-08-03,Flyweight,Deiveson Figueiredo,0
2020-08-03,Flyweight,Joseph Benavidez,1
2020-08-03,Flyweight,Brandon Moreno,2
2020-08-03,Flyweight,Askar Askarov,3
2020-08-03,Flyweight,Alex Perez,4
2020-08-03,Flyweight,Alexandre Pantoja,5
2020-08-03,Flyweight,Jussier Formiga,6
2020-08-03,Flyweight,Kai Kara-France,7
2020-08-03,Flyweight,Rogerio Bontorin,8
2020-08-03,Flyweight,Matt Schnell,9
2020-08-03,Flyweight,Brandon Royval,10
2020-08-03,Flyweight,Tim Elliott,11
2020-08-03,Flyweight,Raulian Paiva,12
2020-08-03,Flyweight,Jordan Espinosa,13
2020-08-03,Flyweight,David Dvorak,14
2020-08-03,Flyweight,Amir Albazi,15
2020-08-03,Bantamweight,Petr Yan,0
2020-08-03,Bantamweight,Marlon Moraes,1
2020-08-03,Bantamweight,Aljamain Sterling,2
2020-08-03,Bantamweight,Cody Garbrandt,3
2020-08-03,Bantamweight,Cory Sandhagen,4
2020-08-03,Bantamweight,Pedro Munhoz,5
2020-08-03,Bantamweight,Jose Aldo,6
2020-08-03,Bantamweight,Jimmie Rivera,7
2020-08-03,Bantamweight,Raphael Assuncao,8
2020-08-03,Bantamweight,Cody Stamann,9
2020-08-03,Bantamweight,Rob Font,10
2020-08-03,Bantamweight,Dominick Cruz,11
2020-08-03,Bantamweight,John Dodson,12
2020-08-03,Bantamweight,Song Yadong,13
2020-08-03,Bantamweight,Sean O'Malley,14
2020-08-03,Bantamweight,Merab Dvalishvili,15
2020-08-03,Featherweight,Alexander Volkanovski,0
2020-08-03,Featherweight,Max Holloway,1
2020-08-03,Featherweight,Brian Ortega,2
2020-08-03,Featherweight,Zabit Magomedsharipov,3
2020-08-03,Featherweight,Chan Sung Jung,4
2020-08-03,Featherweight,Yair Rodriguez,5
2020-08-03,Featherweight,Calvin Kattar,6
2020-08-03,Featherweight,Josh Emmett,7
2020-08-03,Featherweight,Frankie Edgar,8
2020-08-03,Featherweight,Jeremy Stephens,9
2020-08-03,Featherweight,Arnold Allen,10
2020-08-03,Featherweight,Sodiq Yusuff,11
2020-08-03,Featherweight,Dan Ige,12
2020-08-03,Featherweight,Ryan Hall,13
2020-08-03,Featherweight,Shane Burgos,14
2020-08-03,Featherweight,Jose Aldo,15
2020-08-03,Lightweight,Khabib Nurmagomedov,0
2020-08-03,Lightweight,Justin Gaethje,1
2020-08-03,Lightweight,Dustin Poirier,2
2020-08-03,Lightweight,Tony Ferguson,3
2020-08-03,Lightweight,Conor McGregor,4
2020-08-03,Lightweight,Dan Hooker,5
2020-08-03,Lightweight,Charles Oliveira,6
2020-08-03,Lightweight,Paul Felder,7
2020-08-03,Lightweight,Diego Ferreira,8
2020-08-03,Lightweight,Al Iaquinta,9
2020-08-03,Lightweight,Kevin Lee,10
2020-08-03,Lightweight,Islam Makhachev,11
2020-08-03,Lightweight,Gregor Gillespie,12
2020-08-03,Lightweight,Donald Cerrone,13
2020-08-03,Lightweight,Beneil Dariush,14
2020-08-03,Lightweight,Drew Dober,15
2020-08-03,Welterweight,Kamaru Usman,0
2020-08-03,Welterweight,Gilbert Burns,1
2020-08-03,Welterweight,Colby Covington,2
2020-08-03,Welterweight,Leon Edwards,3
2020-08-03,Welterweight,Jorge Masvidal,4
2020-08-03,Welterweight,Tyron Woodley,5
2020-08-03,Welterweight,Stephen Thompson,6
2020-08-03,Welterweight,Demian Maia,7
2020-08-03,Welterweight,Michael Chiesa,8
2020-08-03,Welterweight,Rafael Dos Anjos,9
2020-08-03,Welterweight,Vicente Luque,10
2020-08-03,Welterweight,Geoff Neal,11
2020-08-03,Welterweight,Nate Diaz,12
2020-08-03,Welterweight,Robbie Lawler,13
2020-08-03,Welterweight,Neil Magny,14
2020-08-03,Welterweight,Anthony Pettis,15
