date,weightclass,fighter,rank
2020-09-21,Pound-for-Pound,Jon Jones,1
2020-09-21,Pound-for-Pound,Amanda Nunes,1
2020-09-21,Pound-for-Pound,Khabib Nurmagomedov,2
2020-09-21,Pound-for-Pound,Weili Zhang,2
2020-09-21,Pound-for-Pound,Stipe Miocic,3
2020-09-21,Pound-for-Pound,Valentina Shevchenko,3
2020-09-21,Pound-for-Pound,Israel Adesanya,4
2020-09-21,Pound-for-Pound,Rose Namajunas,4
2020-09-21,Pound-for-Pound,Kamaru Usman,5
2020-09-21,Pound-for-Pound,Joanna Jedrzejczyk,5
2020-09-21,Pound-for-Pound,Alexander Volkanovski,6
2020-09-21,Pound-for-Pound,Jessica Andrade,6
2020-09-21,Pound-for-Pound,Justin Gaethje,7
2020-09-21,Pound-for-Pound,Tatiana Suarez,7
2020-09-21,Pound-for-Pound,Dustin Poirier,8
2020-09-21,Pound-for-Pound,Holly Holm,8
2020-09-21,Pound-for-Pound,Max Holloway,9
2020-09-21,Pound-for-Pound,Germaine de Randamie,9
2020-09-21,Pound-for-Pound,Conor McGregor,10
2020-09-21,Pound-for-Pound,Aspen Ladd,10
2020-09-21,Pound-for-Pound,Petr Yan,11
2020-09-21,Pound-for-Pound,Katlyn Chookagian,11
2020-09-21,Pound-for-Pound,Tony Ferguson,12
2020-09-21,Pound-for-Pound,Claudia Gadelha,12
2020-09-21,Pound-for-Pound,Robert Whittaker,13
2020-09-21,Pound-for-Pound,Cynthia Calvillo,13
2020-09-21,Pound-for-Pound,Deiveson Figueiredo,14
2020-09-21,Pound-for-Pound,Julianna Pena,14
2020-09-21,Pound-for-Pound,Francis Ngannou,15
2020-09-21,Pound-for-Pound,Nina Ansaroff,15
2020-09-21,Flyweight,Deiveson Figueiredo,0
2020-09-21,Flyweight,Joseph Benavidez,1
2020-09-21,Flyweight,Brandon Moreno,2
2020-09-21,Flyweight,Askar Askarov,3
2020-09-21,Flyweight,Alex Perez,4
2020-09-21,Flyweight,Alexandre Pantoja,5
2020-09-21,Flyweight,Jussier Formiga,6
2020-09-21,Flyweight,Kai Kara-France,7
2020-09-21,Flyweight,Rogerio Bontorin,8
2020-09-21,Flyweight,Brandon Royval,9
2020-09-21,Flyweight,Matt Schnell,10
2020-09-21,Flyweight,Raulian Paiva,11
2020-09-21,Flyweight,David Dvorak,11
2020-09-21,Flyweight,Tim Elliott,13
2020-09-21,Flyweight,Jordan Espinosa,14
2020-09-21,Flyweight,Amir Albazi,15
2020-09-21,Flyweight,Tyson Nam,15
2020-09-21,Bantamweight,Petr Yan,0
2020-09-21,Bantamweight,Marlon Moraes,1
2020-09-21,Bantamweight,Aljamain Sterling,2
2020-09-21,Bantamweight,Cody Garbrandt,3
2020-09-21,Bantamweight,Cory Sandhagen,4
2020-09-21,Bantamweight,Frankie Edgar,5
2020-09-21,Bantamweight,Pedro Munhoz,6
2020-09-21,Bantamweight,Jose Aldo,7
2020-09-21,Bantamweight,Jimmie Rivera,8
2020-09-21,Bantamweight,Raphael Assuncao,9
2020-09-21,Bantamweight,Dominick Cruz,10
2020-09-21,Bantamweight,Rob Font,11
2020-09-21,Bantamweight,Cody Stamann,12
2020-09-21,Bantamweight,Merab Dvalishvili,13
2020-09-21,Bantamweight,Song Yadong,14
2020-09-21,Bantamweight,Marlon Vera,15
2020-09-21,Featherweight,Alexander Volkanovski,0
2020-09-21,Featherweight,Max Holloway,1
2020-09-21,Featherweight,Brian Ortega,2
2020-09-21,Featherweight,Zabit Magomedsharipov,3
2020-09-21,Featherweight,Chan Sung Jung,4
2020-09-21,Featherweight,Yair Rodriguez,5
2020-09-21,Featherweight,Calvin Kattar,6
2020-09-21,Featherweight,Josh Emmett,7
2020-09-21,Featherweight,Jeremy Stephens,8
2020-09-21,Featherweight,Arnold Allen,9
2020-09-21,Featherweight,Dan Ige,10
2020-09-21,Featherweight,Sodiq Yusuff,11
2020-09-21,Featherweight,Ryan Hall,12
2020-09-21,Featherweight,Shane Burgos,13
2020-09-21,Featherweight,Jose Aldo,14
2020-09-21,Featherweight,Edson Barboza,14
2020-09-21,Featherweight,Bryce Mitchell,15
2020-09-21,Lightweight,Khabib Nurmagomedov,0
2020-09-21,Lightweight,Justin Gaethje,1
2020-09-21,Lightweight,Dustin Poirier,2
