date,weightclass,fighter,rank
2020-09-28,Pound-for-Pound,Jon Jones,1
2020-09-28,Pound-for-Pound,Amanda Nunes,1
2020-09-28,Pound-for-Pound,Khabib Nurmagomedov,2
2020-09-28,Pound-for-Pound,Weili Zhang,2
2020-09-28,Pound-for-Pound,Israel Adesanya,3
2020-09-28,Pound-for-Pound,Valentina Shevchenko,3
2020-09-28,Pound-for-Pound,Stipe Miocic,4
2020-09-28,Pound-for-Pound,Rose Namajunas,4
2020-09-28,Pound-for-Pound,Kamaru Usman,5
2020-09-28,Pound-for-Pound,Joanna Jedrzejczyk,5
2020-09-28,Pound-for-Pound,Alexander Volkanovski,6
2020-09-28,Pound-for-Pound,Jessica Andrade,6
2020-09-28,Pound-for-Pound,Dustin Poirier,7
2020-09-28,Pound-for-Pound,Tatiana Suarez,7
2020-09-28,Pound-for-Pound,Justin Gaethje,8
2020-09-28,Pound-for-Pound,Holly Holm,8
2020-09-28,Pound-for-Pound,Max Holloway,9
2020-09-28,Pound-for-Pound,Germaine de Randamie,9
2020-09-28,Pound-for-Pound,Petr Yan,10
2020-09-28,Pound-for-Pound,Aspen Ladd,10
2020-09-28,Pound-for-Pound,Conor McGregor,11
2020-09-28,Pound-for-Pound,Katlyn Chookagian,11
2020-09-28,Pound-for-Pound,Deiveson Figueiredo,12
2020-09-28,Pound-for-Pound,Claudia Gadelha,12
2020-09-28,Pound-for-Pound,Tony Ferguson,13
2020-09-28,Pound-for-Pound,Cynthia Calvillo,13
2020-09-28,Pound-for-Pound,Robert Whittaker,14
2020-09-28,Pound-for-Pound,Julianna Pena,14
2020-09-28,Pound-for-Pound,Francis Ngannou,15
2020-09-28,Pound-for-Pound,Nina Ansaroff,15
2020-09-28,Flyweight,Deiveson Figueiredo,0
2020-09-28,Flyweight,Joseph Benavidez,1
2020-09-28,Flyweight,Brandon Moreno,2
2020-09-28,Flyweight,Askar Askarov,3
2020-09-28,Flyweight,Alex Perez,4
2020-09-28,Flyweight,Alexandre Pantoja,5
2020-09-28,Flyweight,Jussier Formiga,6
2020-09-28,Flyweight,Brandon Royval,7
