sequence,date,date_formatted
167,2018-01-24,"January 24, 2018"
168,2018-01-29,"January 29, 2018"
169,2018-02-07,"February 07, 2018"
170,2018-02-12,"February 12, 2018"
171,2018-02-26,"February 26, 2018"
172,2018-03-05,"March 05, 2018"
173,2018-03-21,"March 21, 2018"
174,2018-04-11,"April 11, 2018"
175,2018-04-23,"April 23, 2018"
176,2018-05-16,"May 16, 2018"
177,2018-05-23,"May 23, 2018"
178,2018-05-30,"May 30, 2018"
179,2018-06-06,"June 06, 2018"
180,2018-06-13,"June 13, 2018"
181,2018-06-26,"June 26, 2018"
182,2018-07-11,"July 11, 2018"
183,2018-07-16,"July 16, 2018"
184,2018-07-25,"July 25, 2018"
185,2018-08-01,"August 01, 2018"
186,2018-08-06,"August 06, 2018"
187,2018-08-29,"August 29, 2018"
188,2018-09-12,"September 12, 2018"
189,2018-09-19,"September 19, 2018"
190,2018-09-24,"September 24, 2018"
191,2018-10-08,"October 08, 2018"
192,2018-10-31,"October 31, 2018"
193,2018-11-07,"November 07, 2018"
194,2018-11-19,"November 19, 2018"
195,2018-11-28,"November 28, 2018"
196,2018-12-03,"December 03, 2018"
197,2018-12-12,"December 12, 2018"
198,2018-12-17,"December 17, 2018"
199,2019-01-01,"January 01, 2019"
200,2019-01-21,"January 21, 2019"
201,2019-02-04,"February 04, 2019"
202,2019-02-11,"February 11, 2019"
203,2019-02-25,"February 25, 2019"
204,2019-03-26,"March 26, 2019"
205,2019-04-01,"April 01, 2019"
206,2019-04-15,"April 15, 2019"
207,2019-05-13,"May 13, 2019"
208,2019-07-08,"July 08, 2019"
209,2019-07-15,"July 15, 2019"
210,2019-08-12,"August 12, 2019"
211,2019-08-19,"August 19, 2019"
212,2019-09-02,"September 02, 2019"
213,2019-09-30,"September 30, 2019"
214,2019-11-04,"November 04, 2019"
215,2019-11-11,"November 11, 2019"
216,2019-11-18,"November 18, 2019"
217,2019-12-10,"December 10, 2019"
218,2019-12-16,"December 16, 2019"
219,2019-12-24,"December 24, 2019"
220,2020-01-20,"January 20, 2020"
221,2020-01-27,"January 27, 2020"
222,2020-02-10,"February 10, 2020"
223,2020-02-17,"February 17, 2020"
224,2020-02-24,"February 24, 2020"
225,2020-03-02,"March 02, 2020"
226,2020-03-09,"March 09, 2020"
227,2020-03-16,"March 16, 2020"
228,2020-05-11,"May 11, 2020"
229,2020-05-19,"May 19, 2020"
230,2020-06-02,"June 02, 2020"
231,2020-06-08,"June 08, 2020"
232,2020-06-15,"June 15, 2020"
233,2020-06-22,"June 22, 2020"
234,2020-06-29,"June 29, 2020"
