date,weightclass,fighter,rank
2020-06-29,Pound-for-Pound,Jon Jones,1
2020-06-29,Pound-for-Pound,Amanda Nunes,1
2020-06-29,Pound-for-Pound,Khabib Nurmagomedov,2
2020-06-29,Pound-for-Pound,Weili Zhang,2
2020-06-29,Pound-for-Pound,Stipe Miocic,3
2020-06-29,Pound-for-Pound,Valentina Shevchenko,3
2020-06-29,Pound-for-Pound,Israel Adesanya,4
2020-06-29,Pound-for-Pound,Jessica Andrade,4
2020-06-29,Pound-for-Pound,Daniel Cormier,5
2020-06-29,Pound-for-Pound,Joanna Jedrzejczyk,5
2020-06-29,Pound-for-Pound,Kamaru Usman,6
2020-06-29,Pound-for-Pound,Rose Namajunas,6
2020-06-29,Pound-for-Pound,Alexander Volkanovski,7
2020-06-29,Pound-for-Pound,Tatiana Suarez,7
2020-06-29,Pound-for-Pound,Conor McGregor,8
2020-06-29,Pound-for-Pound,Holly Holm,8
2020-06-29,Pound-for-Pound,Dustin Poirier,9
2020-06-29,Pound-for-Pound,Germaine de Randamie,9
2020-06-29,Pound-for-Pound,Max Holloway,10
2020-06-29,Pound-for-Pound,Aspen Ladd,10
2020-06-29,Pound-for-Pound,Justin Gaethje,11
2020-06-29,Pound-for-Pound,Katlyn Chookagian,11
2020-06-29,Pound-for-Pound,Tony Ferguson,12
2020-06-29,Pound-for-Pound,Claudia Gadelha,12
2020-06-29,Pound-for-Pound,Robert Whittaker,13
2020-06-29,Pound-for-Pound,Cynthia Calvillo,13
2020-06-29,Pound-for-Pound,Francis Ngannou,14
2020-06-29,Pound-for-Pound,Julianna Peña,14
2020-06-29,Pound-for-Pound,Dominick Reyes,15
2020-06-29,Pound-for-Pound,Nina Ansaroff,15
2020-06-29,Flyweight,Deiveson Figueiredo,1
2020-06-29,Flyweight,Joseph Benavidez,2
2020-06-29,Flyweight,Brandon Moreno,3
2020-06-29,Flyweight,Alexandre Pantoja,4
2020-06-29,Flyweight,Alex Perez,5
2020-06-29,Flyweight,Jussier Formiga,6
2020-06-29,Flyweight,Askar Askarov,7
2020-06-29,Flyweight,Kai Kara France,8
2020-06-29,Flyweight,Rogerio Bontorin,9
2020-06-29,Flyweight,Matt Schnell,10
2020-06-29,Flyweight,Brandon Royval,11
2020-06-29,Flyweight,Tim Elliott,12
2020-06-29,Flyweight,Jordan Espinosa,13
2020-06-29,Flyweight,Raulian Paiva,14
2020-06-29,Flyweight,David Dvorak,15
2020-06-29,Bantamweight,Marlon Moraes,1
2020-06-29,Bantamweight,Aljamain Sterling,2
2020-06-29,Bantamweight,Petr Yan,3
2020-06-29,Bantamweight,Cody Garbrandt,4
2020-06-29,Bantamweight,Cory Sandhagen,5
2020-06-29,Bantamweight,Jose Aldo,6
2020-06-29,Bantamweight,Pedro Munhoz,7
2020-06-29,Bantamweight,Raphael Assuncao,8
2020-06-29,Bantamweight,Jimmie Rivera,9
2020-06-29,Bantamweight,Cody Stamann,10
2020-06-29,Bantamweight,Rob Font,11
2020-06-29,Bantamweight,Dominick Cruz,12
2020-06-29,Bantamweight,John Dodson,13
2020-06-29,Bantamweight,Sean O'Malley,14
2020-06-29,Bantamweight,Song Yadong,15
2020-06-29,Featherweight,Alexander Volkanovski,0
2020-06-29,Featherweight,Max Holloway,1
2020-06-29,Featherweight,Zabit Magomedsharipov,2
2020-06-29,Featherweight,Brian Ortega,3
2020-06-29,Featherweight,Chan Sung Jung,4
2020-06-29,Featherweight,Yair Rodriguez,5
2020-06-29,Featherweight,Calvin Kattar,6
2020-06-29,Featherweight,Josh Emmett,7
2020-06-29,Featherweight,Frankie Edgar,7
2020-06-29,Featherweight,Jeremy Stephens,9
2020-06-29,Featherweight,Dan Ige,10
2020-06-29,Featherweight,Jose Aldo,11
2020-06-29,Featherweight,Arnold Allen,12
2020-06-29,Featherweight,Ryan Hall,13
2020-06-29,Featherweight,Shane Burgos,14
2020-06-29,Featherweight,Sodiq Yusuff,15
2020-06-29,Lightweight,Khabib Nurmagomedov,0
2020-06-29,Lightweight,Justin Gaethje,1
2020-06-29,Lightweight,Dustin Poirier,2
2020-06-29,Lightweight,Tony Ferguson,3
2020-06-29,Lightweight,Conor McGregor,4
2020-06-29,Lightweight,Dan Hooker,5
2020-06-29,Lightweight,Charles Oliveira,6
2020-06-29,Lightweight,Paul Felder,7
2020-06-29,Lightweight,Diego Ferreira,8
2020-06-29,Lightweight,Kevin Lee,9
2020-06-29,Lightweight,Al Iaquinta,10
2020-06-29,Lightweight,Islam Makhachev,11
2020-06-29,Lightweight,Gregor Gillespie,12
2020-06-29,Lightweight,Donald Cerrone,13
2020-06-29,Lightweight,Drew Dober,14
2020-06-29,Lightweight,Beneil Dariush,15
2020-06-29,Welterweight,Kamaru Usman,0
2020-06-29,Welterweight,Gilbert Burns,1
2020-06-29,Welterweight,Colby Covington,2
2020-06-29,Welterweight,Jorge Masvidal,3
2020-06-29,Welterweight,Leon Edwards,4
