date,weightclass,fighter,rank
2020-08-31,Pound-for-Pound,Jon Jones,1
2020-08-31,Pound-for-Pound,Amanda Nunes,1
2020-08-31,Pound-for-Pound,Khabib Nurmagomedov,2
2020-08-31,Pound-for-Pound,Weili Zhang,2
2020-08-31,Pound-for-Pound,Stipe Miocic,3
2020-08-31,Pound-for-Pound,Valentina Shevchenko,3
2020-08-31,Pound-for-Pound,Israel Adesanya,4
2020-08-31,Pound-for-Pound,Rose Namajunas,4
2020-08-31,Pound-for-Pound,Kamaru Usman,5
2020-08-31,Pound-for-Pound,Joanna Jedrzejczyk,5
2020-08-31,Pound-for-Pound,Alexander Volkanovski,6
2020-08-31,Pound-for-Pound,Jessica Andrade,6
2020-08-31,Pound-for-Pound,Daniel Cormier,7
2020-08-31,Pound-for-Pound,Tatiana Suarez,7
2020-08-31,Pound-for-Pound,Justin Gaethje,8
2020-08-31,Pound-for-Pound,Holly Holm,8
2020-08-31,Pound-for-Pound,Dustin Poirier,9
2020-08-31,Pound-for-Pound,Germaine de Randamie,9
2020-08-31,Pound-for-Pound,Max Holloway,10
2020-08-31,Pound-for-Pound,Aspen Ladd,10
2020-08-31,Pound-for-Pound,Conor McGregor,11
2020-08-31,Pound-for-Pound,Katlyn Chookagian,11
2020-08-31,Pound-for-Pound,Petr Yan,12
2020-08-31,Pound-for-Pound,Claudia Gadelha,12
2020-08-31,Pound-for-Pound,Deiveson Figueiredo,13
2020-08-31,Pound-for-Pound,Cynthia Calvillo,13
2020-08-31,Pound-for-Pound,Robert Whittaker,14
2020-08-31,Pound-for-Pound,Julianna Pena,14
2020-08-31,Pound-for-Pound,Tony Ferguson,15
2020-08-31,Pound-for-Pound,Nina Ansaroff,15
2020-08-31,Flyweight,Deiveson Figueiredo,0
2020-08-31,Flyweight,Joseph Benavidez,1
2020-08-31,Flyweight,Brandon Moreno,2
2020-08-31,Flyweight,Askar Askarov,3
2020-08-31,Flyweight,Alex Perez,4
2020-08-31,Flyweight,Alexandre Pantoja,5
2020-08-31,Flyweight,Jussier Formiga,6
2020-08-31,Flyweight,Kai Kara-France,7
2020-08-31,Flyweight,Rogerio Bontorin,8
2020-08-31,Flyweight,Matt Schnell,9
2020-08-31,Flyweight,Brandon Royval,10
2020-08-31,Flyweight,Raulian Paiva,11
2020-08-31,Flyweight,Tim Elliott,12
2020-08-31,Flyweight,Jordan Espinosa,13
2020-08-31,Flyweight,David Dvorak,14
2020-08-31,Flyweight,Amir Albazi,15
2020-08-31,Bantamweight,Petr Yan,0
2020-08-31,Bantamweight,Marlon Moraes,1
2020-08-31,Bantamweight,Aljamain Sterling,2
2020-08-31,Bantamweight,Cody Garbrandt,3
2020-08-31,Bantamweight,Cory Sandhagen,4
2020-08-31,Bantamweight,Frankie Edgar,5
2020-08-31,Bantamweight,Pedro Munhoz,6
2020-08-31,Bantamweight,Jose Aldo,7
2020-08-31,Bantamweight,Jimmie Rivera,8
2020-08-31,Bantamweight,Raphael Assuncao,9
2020-08-31,Bantamweight,Rob Font,10
2020-08-31,Bantamweight,Dominick Cruz,11
2020-08-31,Bantamweight,Cody Stamann,12
2020-08-31,Bantamweight,Merab Dvalishvili,13
2020-08-31,Bantamweight,Song Yadong,14
2020-08-31,Bantamweight,Marlon Vera,15
2020-08-31,Featherweight,Alexander Volkanovski,0
