date,weightclass,fighter,rank
2020-08-31,Featherweight,Max Holloway,1
2020-08-31,Featherweight,Brian Ortega,2
2020-08-31,Featherweight,Zabit Magomedsharipov,3
2020-08-31,Featherweight,Chan Sung Jung,4
2020-08-31,Featherweight,Yair Rodriguez,5
2020-08-31,Featherweight,Calvin Kattar,6
2020-08-31,Featherweight,Josh Emmett,7
2020-08-31,Featherweight,Jeremy Stephens,8
2020-08-31,Featherweight,Arnold Allen,9
2020-08-31,Featherweight,Dan Ige,10
2020-08-31,Featherweight,Sodiq Yusuff,11
2020-08-31,Featherweight,Ryan Hall,12
2020-08-31,Featherweight,Shane Burgos,13
2020-08-31,Featherweight,Jose Aldo,14
2020-08-31,Featherweight,Bryce Mitchell,15
2020-08-31,Featherweight,Edson Barboza,15
2020-08-31,Lightweight,Khabib Nurmagomedov,0
2020-08-31,Lightweight,Justin Gaethje,1
2020-08-31,Lightweight,Dustin Poirier,2
2020-08-31,Lightweight,Tony Ferguson,3
2020-08-31,Lightweight,Conor McGregor,4
2020-08-31,Lightweight,Dan Hooker,5
2020-08-31,Lightweight,Charles Oliveira,6
2020-08-31,Lightweight,Paul Felder,7
2020-08-31,Lightweight,Diego Ferreira,8
2020-08-31,Lightweight,Al Iaquinta,9
2020-08-31,Lightweight,Kevin Lee,10
2020-08-31,Lightweight,Beneil Dariush,11
2020-08-31,Lightweight,Islam Makhachev,12
2020-08-31,Lightweight,Gregor Gillespie,13
2020-08-31,Lightweight,Donald Cerrone,14
2020-08-31,Lightweight,Drew Dober,15
2020-08-31,Welterweight,Kamaru Usman,0
2020-08-31,Welterweight,Gilbert Burns,1
2020-08-31,Welterweight,Colby Covington,2
2020-08-31,Welterweight,Leon Edwards,3
2020-08-31,Welterweight,Jorge Masvidal,4
2020-08-31,Welterweight,Tyron Woodley,5
2020-08-31,Welterweight,Stephen Thompson,6
2020-08-31,Welterweight,Demian Maia,7
2020-08-31,Welterweight,Michael Chiesa,8
2020-08-31,Welterweight,Rafael Dos Anjos,9
2020-08-31,Welterweight,Vicente Luque,10
2020-08-31,Welterweight,Geoff Neal,11
2020-08-31,Welterweight,Neil Magny,11
2020-08-31,Welterweight,Nate Diaz,12
2020-08-31,Welterweight,Robbie Lawler,13
2020-08-31,Welterweight,Neil Magny,14
2020-08-31,Welterweight,Anthony Pettis,15
2020-08-31,Middleweight,Israel Adesanya,0
2020-08-31,Middleweight,Robert Whittaker,1
2020-08-31,Middleweight,Paulo Costa,2
2020-08-31,Middleweight,Jared Cannonier,3
2020-08-31,Middleweight,Jack Hermansson,4
2020-08-31,Middleweight,Yoel Romero,5
2020-08-31,Middleweight,Darren Till,6
2020-08-31,Middleweight,Derek Brunson,7
2020-08-31,Middleweight,Kelvin Gastelum,8
2020-08-31,Middleweight,Uriah Hall,9
2020-08-31,Middleweight,Edmen Shahbazyan,10
2020-08-31,Middleweight,Chris Weidman,11
2020-08-31,Middleweight,Brad Tavares,12
2020-08-31,Middleweight,Omari Akhmedov,13
2020-08-31,Middleweight,Ian Heinisch,14
2020-08-31,Middleweight,Marvin Vettori,15
2020-08-31,Light Heavyweight,Dominick Reyes,1
2020-08-31,Light Heavyweight,Thiago Santos,2
2020-08-31,Light Heavyweight,Jan Blachowicz,3
2020-08-31,Light Heavyweight,Glover Teixeira,4
2020-08-31,Light Heavyweight,Aleksandar Rakic,5
2020-08-31,Light Heavyweight,Jiri Prochazka,6
2020-08-31,Light Heavyweight,Volkan Oezdemir,7
2020-08-31,Light Heavyweight,Anthony Smith,8
2020-08-31,Light Heavyweight,Nikita Krylov,9
2020-08-31,Light Heavyweight,Misha Cirkunov,10
2020-08-31,Light Heavyweight,Johnny Walker,11
2020-08-31,Light Heavyweight,Ryan Spann,12
2020-08-31,Light Heavyweight,Mauricio Rua,13
2020-08-31,Light Heavyweight,Magomed Ankalaev,13
2020-08-31,Light Heavyweight,Paul Craig,15
2020-08-31,Heavyweight,Stipe Miocic,0
2020-08-31,Heavyweight,Francis Ngannou,1
2020-08-31,Heavyweight,Curtis Blaydes,2
2020-08-31,Heavyweight,Daniel Cormier,3
2020-08-31,Heavyweight,Jairzinho Rozenstruik,4
2020-08-31,Heavyweight,Derrick Lewis,5
2020-08-31,Heavyweight,Alistair Overeem,6
2020-08-31,Heavyweight,Junior Dos Santos,7
2020-08-31,Heavyweight,Alexander Volkov,8
2020-08-31,Heavyweight,Augusto Sakai,9
2020-08-31,Heavyweight,Walt Harris,10
2020-08-31,Heavyweight,Shamil Abdurakhimov,11
2020-08-31,Heavyweight,Aleksei Oleinik,12
2020-08-31,Heavyweight,Ciryl Gane,13
2020-08-31,Heavyweight,Sergei Pavlovich,14
2020-08-31,Heavyweight,Blagoy Ivanov,15
2020-08-31,Women's Strawweight,Weili Zhang,0
2020-08-31,Women's Strawweight,Rose Namajunas,1
2020-08-31,Women's Strawweight,Jessica Andrade,2
2020-08-31,Women's Strawweight,Tatiana Suarez,3
2020-08-31,Women's Strawweight,Joanna Jedrzejczyk,4
2020-08-31,Women's Strawweight,Nina Ansaroff,5
2020-08-31,Women's Strawweight,Claudia Gadelha,6
2020-08-31,Women's Strawweight,Carla Esparza,7
2020-08-31,Women's Strawweight,Michelle Waterson,8
2020-08-31,Women's Strawweight,Marina Rodriguez,9
2020-08-31,Women's Strawweight,Yan Xiaonan,10
2020-08-31,Women's Strawweight,Tecia Torres,11
2020-08-31,Women's Strawweight,Amanda Ribas,12
2020-08-31,Women's Strawweight,Angela Hill,13
2020-08-31,Women's Strawweight,Alexa Grasso,14
2020-08-31,Women's Strawweight,Virna Jandiroba,14
2020-08-31,Women's Strawweight,Mackenzie Dern,15
2020-08-31,Women's Flyweight,Valentina Shevchenko,0
2020-08-31,Women's Flyweight,Katlyn Chookagian,1
2020-08-31,Women's Flyweight,Cynthia Calvillo,2
2020-08-31,Women's Flyweight,Jennifer Maia,3
2020-08-31,Women's Flyweight,Lauren Murphy,4
2020-08-31,Women's Flyweight,Joanne Calderwood,5
2020-08-31,Women's Flyweight,Jessica Eye,5
2020-08-31,Women's Flyweight,Roxanne Modafferi,7
2020-08-31,Women's Flyweight,Viviane Araujo,8
2020-08-31,Women's Flyweight,Andrea Lee,9
2020-08-31,Women's Flyweight,Maycee Barber,10
2020-08-31,Women's Flyweight,Montana De La Rosa,12
2020-08-31,Women's Flyweight,Alexis Davis,12
2020-08-31,Women's Flyweight,Antonina Shevchenko,13
2020-08-31,Women's Flyweight,Ji Yeon Kim,14
2020-08-31,Women's Flyweight,Alexa Grasso,14
2020-08-31,Women's Flyweight,Gillian Robertson,15
2020-08-31,Women's Bantamweight,Amanda Nunes,0
2020-08-31,Women's Bantamweight,Germaine de Randamie,1
2020-08-31,Women's Bantamweight,Holly Holm,2
2020-08-31,Women's Bantamweight,Aspen Ladd,3
2020-08-31,Women's Bantamweight,Julianna Pena,4
2020-08-31,Women's Bantamweight,Raquel Pennington,5
2020-08-31,Women's Bantamweight,Irene Aldana,6
2020-08-31,Women's Bantamweight,Ketlen Vieira,7
2020-08-31,Women's Bantamweight,Yana Kunitskaya,8
2020-08-31,Women's Bantamweight,Sara McMann,9
2020-08-31,Women's Bantamweight,Marion Reneau,10
2020-08-31,Women's Bantamweight,Lina Lansberg,11
2020-08-31,Women's Bantamweight,Macy Chiasson,12
2020-08-31,Women's Bantamweight,Pannie Kianzad,13
2020-08-31,Women's Bantamweight,Julia Avila,14
2020-08-31,Women's Bantamweight,Sijara Eubanks,15
2020-08-31,Women's Featherweight,Amanda Nunes,0
