date,weightclass,fighter,rank
2020-07-27,Pound-for-Pound,Jon Jones,1
2020-07-27,Pound-for-Pound,Amanda Nunes,1
2020-07-27,Pound-for-Pound,Khabib Nurmagomedov,2
2020-07-27,Pound-for-Pound,Weili Zhang,2
2020-07-27,Pound-for-Pound,Stipe Miocic,3
2020-07-27,Pound-for-Pound,Valentina Shevchenko,3
2020-07-27,Pound-for-Pound,Israel Adesanya,4
2020-07-27,Pound-for-Pound,Rose Namajunas,4
2020-07-27,Pound-for-Pound,Kamaru Usman,5
2020-07-27,Pound-for-Pound,Joanna Jedrzejczyk,5
2020-07-27,Pound-for-Pound,Daniel Cormier,6
2020-07-27,Pound-for-Pound,Jessica Andrade,6
2020-07-27,Pound-for-Pound,Alexander Volkanovski,7
2020-07-27,Pound-for-Pound,Tatiana Suarez,7
2020-07-27,Pound-for-Pound,Dustin Poirier,8
2020-07-27,Pound-for-Pound,Holly Holm,8
2020-07-27,Pound-for-Pound,Max Holloway,9
2020-07-27,Pound-for-Pound,Germaine de Randamie,9
2020-07-27,Pound-for-Pound,Conor McGregor,10
2020-07-27,Pound-for-Pound,Aspen Ladd,10
2020-07-27,Pound-for-Pound,Justin Gaethje,11
2020-07-27,Pound-for-Pound,Katlyn Chookagian,11
2020-07-27,Pound-for-Pound,Tony Ferguson,12
2020-07-27,Pound-for-Pound,Claudia Gadelha,12
2020-07-27,Pound-for-Pound,Petr Yan,13
2020-07-27,Pound-for-Pound,Cynthia Calvillo,13
2020-07-27,Pound-for-Pound,Robert Whittaker,14
2020-07-27,Pound-for-Pound,Julianna Pena,14
2020-07-27,Pound-for-Pound,Francis Ngannou,15
2020-07-27,Pound-for-Pound,Nina Ansaroff,15
2020-07-27,Flyweight,Deiveson Figueiredo,0
2020-07-27,Flyweight,Deiveson Figueiredo,1
2020-07-27,Flyweight,Joseph Benavidez,2
2020-07-27,Flyweight,Brandon Moreno,3
2020-07-27,Flyweight,Alexandre Pantoja,4
2020-07-27,Flyweight,Alex Perez,5
2020-07-27,Flyweight,Jussier Formiga,6
2020-07-27,Flyweight,Askar Askarov,7
2020-07-27,Flyweight,Kai Kara-France,8
2020-07-27,Flyweight,Rogerio Bontorin,9
2020-07-27,Flyweight,Matt Schnell,10
2020-07-27,Flyweight,Brandon Royval,11
2020-07-27,Flyweight,Raulian Paiva,12
2020-07-27,Flyweight,Tim Elliott,13
2020-07-27,Flyweight,Jordan Espinosa,14
2020-07-27,Flyweight,David Dvorak,15
2020-07-27,Bantamweight,Petr Yan,0
2020-07-27,Bantamweight,Marlon Moraes,1
2020-07-27,Bantamweight,Aljamain Sterling,2
2020-07-27,Bantamweight,Cody Garbrandt,3
