date,weightclass,fighter,rank
2020-06-22,Pound-for-Pound,Jon Jones,1
2020-06-22,Pound-for-Pound,Amanda Nunes,1
2020-06-22,Pound-for-Pound,Khabib Nurmagomedov,2
2020-06-22,Pound-for-Pound,Weili Zhang,2
2020-06-22,Pound-for-Pound,Stipe Miocic,3
2020-06-22,Pound-for-Pound,Valentina Shevchenko,3
2020-06-22,Pound-for-Pound,Israel Adesanya,4
2020-06-22,Pound-for-Pound,Jessica Andrade,4
2020-06-22,Pound-for-Pound,Daniel Cormier,5
2020-06-22,Pound-for-Pound,Joanna Jedrzejczyk,5
2020-06-22,Pound-for-Pound,Kamaru Usman,6
2020-06-22,Pound-for-Pound,Rose Namajunas,6
2020-06-22,Pound-for-Pound,Alexander Volkanovski,7
2020-06-22,Pound-for-Pound,Tatiana Suarez,7
2020-06-22,Pound-for-Pound,Conor McGregor,8
2020-06-22,Pound-for-Pound,Holly Holm,8
2020-06-22,Pound-for-Pound,Max Holloway,9
2020-06-22,Pound-for-Pound,Germaine de Randamie,9
2020-06-22,Pound-for-Pound,Justin Gaethje,10
2020-06-22,Pound-for-Pound,Aspen Ladd,10
2020-06-22,Pound-for-Pound,Dustin Poirier,11
2020-06-22,Pound-for-Pound,Katlyn Chookagian,11
2020-06-22,Pound-for-Pound,Tony Ferguson,12
2020-06-22,Pound-for-Pound,Claudia Gadelha,12
2020-06-22,Pound-for-Pound,Robert Whittaker,13
2020-06-22,Pound-for-Pound,Julianna Peña,13
2020-06-22,Pound-for-Pound,Francis Ngannou,14
2020-06-22,Pound-for-Pound,Cynthia Calvillo,14
2020-06-22,Pound-for-Pound,Dominick Reyes,15
2020-06-22,Pound-for-Pound,Nina Ansaroff,15
2020-06-22,Flyweight,Deiveson Figueiredo,1
2020-06-22,Flyweight,Joseph Benavidez,2
2020-06-22,Flyweight,Brandon Moreno,3
2020-06-22,Flyweight,Alexandre Pantoja,4
2020-06-22,Flyweight,Alex Perez,5
2020-06-22,Flyweight,Jussier Formiga,6
2020-06-22,Flyweight,Askar Askarov,7
2020-06-22,Flyweight,Kai Kara France,8
2020-06-22,Flyweight,Rogerio Bontorin,9
2020-06-22,Flyweight,Matt Schnell,10
2020-06-22,Flyweight,Brandon Royval,11
2020-06-22,Flyweight,Tim Elliott,12
2020-06-22,Flyweight,Jordan Espinosa,13
2020-06-22,Flyweight,Raulian Paiva,14
2020-06-22,Flyweight,David Dvorak,15
2020-06-22,Bantamweight,Marlon Moraes,1
2020-06-22,Bantamweight,Aljamain Sterling,2
2020-06-22,Bantamweight,Petr Yan,3
2020-06-22,Bantamweight,Cory Sandhagen,4
2020-06-22,Bantamweight,Cody Garbrandt,4
2020-06-22,Bantamweight,Jose Aldo,6
2020-06-22,Bantamweight,Pedro Munhoz,7
2020-06-22,Bantamweight,Raphael Assuncao,8
2020-06-22,Bantamweight,Jimmie Rivera,9
2020-06-22,Bantamweight,Cody Stamann,10
2020-06-22,Bantamweight,Rob Font,11
2020-06-22,Bantamweight,Dominick Cruz,12
2020-06-22,Bantamweight,John Dodson,13
2020-06-22,Bantamweight,Sean O'Malley,14
2020-06-22,Bantamweight,Song Yadong,15
2020-06-22,Featherweight,Alexander Volkanovski,0
2020-06-22,Featherweight,Max Holloway,1
2020-06-22,Featherweight,Brian Ortega,2
2020-06-22,Featherweight,Zabit Magomedsharipov,3
2020-06-22,Featherweight,Chan Sung Jung,4
2020-06-22,Featherweight,Yair Rodriguez,5
2020-06-22,Featherweight,Calvin Kattar,6
2020-06-22,Featherweight,Frankie Edgar,7
2020-06-22,Featherweight,Josh Emmett,8
2020-06-22,Featherweight,Jeremy Stephens,9
2020-06-22,Featherweight,Dan Ige,10
2020-06-22,Featherweight,Arnold Allen,11
2020-06-22,Featherweight,Jose Aldo,12
2020-06-22,Featherweight,Ryan Hall,13
2020-06-22,Featherweight,Sodiq Yusuff,14
2020-06-22,Featherweight,Shane Burgos,14
2020-06-22,Lightweight,Khabib Nurmagomedov,0
2020-06-22,Lightweight,Justin Gaethje,1
2020-06-22,Lightweight,Tony Ferguson,2
2020-06-22,Lightweight,Dustin Poirier,3
2020-06-22,Lightweight,Conor McGregor,4
2020-06-22,Lightweight,Dan Hooker,5
2020-06-22,Lightweight,Paul Felder,6
2020-06-22,Lightweight,Charles Oliveira,7
2020-06-22,Lightweight,Kevin Lee,8
2020-06-22,Lightweight,Al Iaquinta,9
2020-06-22,Lightweight,Diego Ferreira,10
2020-06-22,Lightweight,Donald Cerrone,11
2020-06-22,Lightweight,Gregor Gillespie,12
2020-06-22,Lightweight,Islam Makhachev,13
2020-06-22,Lightweight,Beneil Dariush,14
2020-06-22,Lightweight,Drew Dober,15
2020-06-22,Welterweight,Kamaru Usman,0
2020-06-22,Welterweight,Gilbert Burns,1
2020-06-22,Welterweight,Colby Covington,2
2020-06-22,Welterweight,Jorge Masvidal,3
2020-06-22,Welterweight,Leon Edwards,4
2020-06-22,Welterweight,Tyron Woodley,5
2020-06-22,Welterweight,Stephen Thompson,6
2020-06-22,Welterweight,Demian Maia,7
2020-06-22,Welterweight,Michael Chiesa,8
2020-06-22,Welterweight,Rafael Dos Anjos,9
2020-06-22,Welterweight,Nate Diaz,10
2020-06-22,Welterweight,Geoff Neal,11
2020-06-22,Welterweight,Vicente Luque,12
2020-06-22,Welterweight,Robbie Lawler,13
2020-06-22,Welterweight,Anthony Pettis,14
2020-06-22,Welterweight,Neil Magny,15
2020-06-22,Middleweight,Israel Adesanya,0
2020-06-22,Middleweight,Robert Whittaker,1
2020-06-22,Middleweight,Paulo Costa,2
2020-06-22,Middleweight,Jared Cannonier,3
2020-06-22,Middleweight,Yoel Romero,4
2020-06-22,Middleweight,Darren Till,5
2020-06-22,Middleweight,Jack Hermansson,6
2020-06-22,Middleweight,Kelvin Gastelum,7
2020-06-22,Middleweight,Derek Brunson,8
2020-06-22,Middleweight,Edmen Shahbazyan,9
2020-06-22,Middleweight,Uriah Hall,10
2020-06-22,Middleweight,Omari Akhmedov,11
2020-06-22,Middleweight,Brad Tavares,12
2020-06-22,Middleweight,Ian Heinisch,13
2020-06-22,Middleweight,Marvin Vettori,14
2020-06-22,Middleweight,Antonio Carlos Junior,15
2020-06-22,Light Heavyweight,Jon Jones,0
2020-06-22,Light Heavyweight,Dominick Reyes,1
2020-06-22,Light Heavyweight,Thiago Santos,2
2020-06-22,Light Heavyweight,Jan Blachowicz,3
2020-06-22,Light Heavyweight,Corey Anderson,4
2020-06-22,Light Heavyweight,Glover Teixeira,5
2020-06-22,Light Heavyweight,Anthony Smith,6
2020-06-22,Light Heavyweight,Volkan Oezdemir,7
2020-06-22,Light Heavyweight,Alexander Gustafsson,8
2020-06-22,Light Heavyweight,Aleksandar Rakic,9
2020-06-22,Light Heavyweight,Nikita Krylov,10
2020-06-22,Light Heavyweight,Johnny Walker,11
2020-06-22,Light Heavyweight,Misha Cirkunov,12
2020-06-22,Light Heavyweight,Ryan Spann,13
2020-06-22,Light Heavyweight,Magomed Ankalaev,14
2020-06-22,Light Heavyweight,Mauricio Rua,15
2020-06-22,Heavyweight,Stipe Miocic,0
2020-06-22,Heavyweight,Daniel Cormier,1
2020-06-22,Heavyweight,Francis Ngannou,2
2020-06-22,Heavyweight,Curtis Blaydes,3
2020-06-22,Heavyweight,Derrick Lewis,4
2020-06-22,Heavyweight,Junior Dos Santos,5
2020-06-22,Heavyweight,Jairzinho Rozenstruik,6
2020-06-22,Heavyweight,Alistair Overeem,7
2020-06-22,Heavyweight,Alexander Volkov,8
2020-06-22,Heavyweight,Walt Harris,9
2020-06-22,Heavyweight,Augusto Sakai,10
2020-06-22,Heavyweight,Aleksei Oleinik,11
2020-06-22,Heavyweight,Shamil Abdurakhimov,12
2020-06-22,Heavyweight,Sergei Pavlovich,13
2020-06-22,Heavyweight,Fabricio Werdum,14
2020-06-22,Heavyweight,Blagoy Ivanov,15
2020-06-22,Heavyweight,Ciryl Gane,15
2020-06-22,Women's Strawweight,Weili Zhang,0
2020-06-22,Women's Strawweight,Jessica Andrade,1
2020-06-22,Women's Strawweight,Rose Namajunas,2
2020-06-22,Women's Strawweight,Tatiana Suarez,3
2020-06-22,Women's Strawweight,Joanna Jedrzejczyk,4
2020-06-22,Women's Strawweight,Nina Ansaroff,5
2020-06-22,Women's Strawweight,Claudia Gadelha,6
2020-06-22,Women's Strawweight,Carla Esparza,7
2020-06-22,Women's Strawweight,Michelle Waterson,8
2020-06-22,Women's Strawweight,Marina Rodriguez,9
2020-06-22,Women's Strawweight,Yan Xiaonan,10
2020-06-22,Women's Strawweight,Tecia Torres,11
2020-06-22,Women's Strawweight,Alexa Grasso,12
2020-06-22,Women's Strawweight,Felice Herrig,13
2020-06-22,Women's Strawweight,Angela Hill,14
2020-06-22,Women's Strawweight,Amanda Ribas,15
2020-06-22,Women's Flyweight,Valentina Shevchenko,0
2020-06-22,Women's Flyweight,Katlyn Chookagian,1
2020-06-22,Women's Flyweight,Cynthia Calvillo,2
2020-06-22,Women's Flyweight,Joanne Calderwood,3
2020-06-22,Women's Flyweight,Lauren Murphy,4
2020-06-22,Women's Flyweight,Jessica Eye,4
2020-06-22,Women's Flyweight,Jennifer Maia,6
2020-06-22,Women's Flyweight,Roxanne Modafferi,7
2020-06-22,Women's Flyweight,Viviane Araujo,8
2020-06-22,Women's Flyweight,Andrea Lee,9
2020-06-22,Women's Flyweight,Maycee Barber,10
2020-06-22,Women's Flyweight,Alexis Davis,11
2020-06-22,Women's Flyweight,Montana De La Rosa,12
2020-06-22,Women's Flyweight,Antonina Shevchenko,13
2020-06-22,Women's Flyweight,Ji Yeon Kim,14
2020-06-22,Women's Flyweight,Molly McCann,15
2020-06-22,Women's Bantamweight,Amanda Nunes,0
2020-06-22,Women's Bantamweight,Germaine de Randamie,1
2020-06-22,Women's Bantamweight,Holly Holm,2
2020-06-22,Women's Bantamweight,Aspen Ladd,3
2020-06-22,Women's Bantamweight,Julianna Peña,4
2020-06-22,Women's Bantamweight,Raquel Pennington,5
2020-06-22,Women's Bantamweight,Irene Aldana,6
2020-06-22,Women's Bantamweight,Ketlen Vieira,7
2020-06-22,Women's Bantamweight,Yana Kunitskaya,8
2020-06-22,Women's Bantamweight,Sara McMann,9
2020-06-22,Women's Bantamweight,Marion Reneau,10
2020-06-22,Women's Bantamweight,Lina Lansberg,11
2020-06-22,Women's Bantamweight,Macy Chiasson,12
2020-06-22,Women's Bantamweight,Bethe Correia,13
2020-06-22,Women's Bantamweight,Sijara Eubanks,14
2020-06-22,Women's Bantamweight,Nicco Montano,15
2020-06-22,Women's Bantamweight,Julia Avila,15
2020-06-22,Women's Featherweight,Amanda Nunes,0
