date,weightclass,fighter,rank
2020-08-10,Light Heavyweight,Jon Jones,0
2020-08-10,Light Heavyweight,Dominick Reyes,1
2020-08-10,Light Heavyweight,Thiago Santos,2
2020-08-10,Light Heavyweight,Jan Blachowicz,3
2020-08-10,Light Heavyweight,Corey Anderson,4
2020-08-10,Light Heavyweight,Glover Teixeira,4
2020-08-10,Light Heavyweight,Anthony Smith,5
2020-08-10,Light Heavyweight,Jiri Prochazka,6
2020-08-10,Light Heavyweight,Volkan Oezdemir,7
2020-08-10,Light Heavyweight,Aleksandar Rakic,8
2020-08-10,Light Heavyweight,Nikita Krylov,9
2020-08-10,Light Heavyweight,Misha Cirkunov,10
2020-08-10,Light Heavyweight,Johnny Walker,11
2020-08-10,Light Heavyweight,Ryan Spann,12
2020-08-10,Light Heavyweight,Magomed Ankalaev,13
2020-08-10,Light Heavyweight,Mauricio Rua,14
2020-08-10,Light Heavyweight,Paul Craig,15
2020-08-10,Heavyweight,Stipe Miocic,0
2020-08-10,Heavyweight,Daniel Cormier,1
2020-08-10,Heavyweight,Francis Ngannou,2
2020-08-10,Heavyweight,Curtis Blaydes,3
2020-08-10,Heavyweight,Derrick Lewis,4
2020-08-10,Heavyweight,Junior Dos Santos,5
2020-08-10,Heavyweight,Jairzinho Rozenstruik,6
2020-08-10,Heavyweight,Alistair Overeem,7
2020-08-10,Heavyweight,Alexander Volkov,8
2020-08-10,Heavyweight,Augusto Sakai,9
2020-08-10,Heavyweight,Aleksei Oleinik,10
2020-08-10,Heavyweight,Walt Harris,11
2020-08-10,Heavyweight,Shamil Abdurakhimov,12
2020-08-10,Heavyweight,Fabricio Werdum,13
2020-08-10,Heavyweight,Sergei Pavlovich,14
2020-08-10,Heavyweight,Ciryl Gane,15
2020-08-10,Women's Strawweight,Weili Zhang,0
2020-08-10,Women's Strawweight,Rose Namajunas,1
2020-08-10,Women's Strawweight,Jessica Andrade,2
2020-08-10,Women's Strawweight,Tatiana Suarez,3
2020-08-10,Women's Strawweight,Joanna Jedrzejczyk,4
2020-08-10,Women's Strawweight,Nina Ansaroff,5
2020-08-10,Women's Strawweight,Claudia Gadelha,6
2020-08-10,Women's Strawweight,Carla Esparza,7
2020-08-10,Women's Strawweight,Michelle Waterson,8
2020-08-10,Women's Strawweight,Marina Rodriguez,9
2020-08-10,Women's Strawweight,Yan Xiaonan,10
2020-08-10,Women's Strawweight,Tecia Torres,11
2020-08-10,Women's Strawweight,Amanda Ribas,12
2020-08-10,Women's Strawweight,Angela Hill,13
2020-08-10,Women's Strawweight,Alexa Grasso,14
2020-08-10,Women's Strawweight,Felice Herrig,15
2020-08-10,Women's Flyweight,Valentina Shevchenko,0
2020-08-10,Women's Flyweight,Katlyn Chookagian,1
2020-08-10,Women's Flyweight,Cynthia Calvillo,2
2020-08-10,Women's Flyweight,Jennifer Maia,3
2020-08-10,Women's Flyweight,Lauren Murphy,4
2020-08-10,Women's Flyweight,Joanne Calderwood,5
2020-08-10,Women's Flyweight,Jessica Eye,5
2020-08-10,Women's Flyweight,Roxanne Modafferi,7
2020-08-10,Women's Flyweight,Viviane Araujo,8
2020-08-10,Women's Flyweight,Andrea Lee,9
2020-08-10,Women's Flyweight,Maycee Barber,10
2020-08-10,Women's Flyweight,Alexis Davis,11
2020-08-10,Women's Flyweight,Montana De La Rosa,12
2020-08-10,Women's Flyweight,Antonina Shevchenko,13
2020-08-10,Women's Flyweight,Ji Yeon Kim,14
2020-08-10,Women's Flyweight,Gillian Robertson,15
2020-08-10,Women's Bantamweight,Amanda Nunes,0
2020-08-10,Women's Bantamweight,Germaine de Randamie,1
2020-08-10,Women's Bantamweight,Holly Holm,2
2020-08-10,Women's Bantamweight,Aspen Ladd,3
2020-08-10,Women's Bantamweight,Julianna Pena,4
2020-08-10,Women's Bantamweight,Raquel Pennington,5
2020-08-10,Women's Bantamweight,Irene Aldana,6
2020-08-10,Women's Bantamweight,Ketlen Vieira,7
2020-08-10,Women's Bantamweight,Yana Kunitskaya,8
2020-08-10,Women's Bantamweight,Sara McMann,9
2020-08-10,Women's Bantamweight,Marion Reneau,10
2020-08-10,Women's Bantamweight,Lina Lansberg,11
2020-08-10,Women's Bantamweight,Macy Chiasson,12
2020-08-10,Women's Bantamweight,Pannie Kianzad,13
2020-08-10,Women's Bantamweight,Julia Avila,14
2020-08-10,Women's Bantamweight,Sijara Eubanks,15
2020-08-10,Women's Featherweight,Amanda Nunes,0
